YIL,BÖLGE,SEPET
1909,QU,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for grain', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1909,SK,"['Barley', 'Flaxseed', 'Oats', 'Rye, all', 'Tame hay', 'Wheat, all']"
1910,AB,"['Barley', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all']"
1910,BC,"['Barley', 'Beans, all dry (white and coloured)', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1910,CA,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for grain', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all']"
1910,MA,"['Barley', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1910,MP,"['Barley', 'Mixed grains', 'Oats', 'Tame hay', 'Wheat, all']"
1910,NB,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1910,NS,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1910,ON,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for grain', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all', 'Wheat, spring', 'Wheat, winter remaining']"
1910,PEI,"['Barley', 'Buckwheat', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Tame hay', 'Wheat, all']"
1910,PP,"['Barley', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all']"
1910,QU,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for grain', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1910,SK,"['Barley', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1911,AB,"['Barley', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all']"
1911,BC,"['Barley', 'Beans, all dry (white and coloured)', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1911,CA,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for grain', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all']"
1911,MA,"['Barley', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1911,MP,"['Barley', 'Mixed grains', 'Oats', 'Tame hay', 'Wheat, all']"
1911,NB,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1911,NS,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1911,ON,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for grain', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all', 'Wheat, spring', 'Wheat, winter remaining']"
1911,PEI,"['Barley', 'Buckwheat', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Tame hay', 'Wheat, all']"
1911,PP,"['Barley', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all']"
1911,QU,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for grain', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1911,SK,"['Barley', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1912,AB,"['Barley', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all']"
1912,BC,"['Barley', 'Beans, all dry (white and coloured)', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1912,CA,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for grain', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all']"
1912,MA,"['Barley', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1912,MP,"['Barley', 'Mixed grains', 'Oats', 'Tame hay', 'Wheat, all']"
1912,NB,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1912,NS,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1912,ON,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for grain', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all', 'Wheat, spring', 'Wheat, winter remaining']"
1912,PEI,"['Barley', 'Buckwheat', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Tame hay', 'Wheat, all']"
1912,PP,"['Barley', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all']"
1912,QU,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for grain', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1912,SK,"['Barley', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1913,AB,"['Barley', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all']"
1913,BC,"['Barley', 'Beans, all dry (white and coloured)', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1913,CA,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for grain', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all']"
1913,MA,"['Barley', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1913,MP,"['Barley', 'Mixed grains', 'Oats', 'Tame hay', 'Wheat, all']"
1913,NB,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1913,NS,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1913,ON,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for grain', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all', 'Wheat, spring', 'Wheat, winter remaining']"
1913,PEI,"['Barley', 'Buckwheat', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Tame hay', 'Wheat, all']"
1913,PP,"['Barley', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all']"
1913,QU,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for grain', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1913,SK,"['Barley', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1914,AB,"['Barley', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all']"
1914,BC,"['Barley', 'Beans, all dry (white and coloured)', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1914,CA,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for grain', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all']"
1914,MA,"['Barley', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1914,MP,"['Barley', 'Mixed grains', 'Oats', 'Tame hay', 'Wheat, all']"
1914,NB,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1914,NS,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1914,ON,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for grain', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all', 'Wheat, spring', 'Wheat, winter remaining']"
1914,PEI,"['Barley', 'Buckwheat', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Tame hay', 'Wheat, all']"
1914,PP,"['Barley', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all']"
1914,QU,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for grain', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1914,SK,"['Barley', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1915,AB,"['Barley', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all']"
1915,BC,"['Barley', 'Beans, all dry (white and coloured)', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1915,CA,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for grain', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all']"
1915,MA,"['Barley', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1915,MP,"['Barley', 'Mixed grains', 'Oats', 'Tame hay', 'Wheat, all']"
1915,NB,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1915,NS,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1915,ON,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for grain', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all', 'Wheat, spring', 'Wheat, winter remaining']"
1915,PEI,"['Barley', 'Buckwheat', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Tame hay', 'Wheat, all']"
1915,PP,"['Barley', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all']"
1915,QU,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for grain', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1915,SK,"['Barley', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1916,AB,"['Barley', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all']"
1916,BC,"['Barley', 'Beans, all dry (white and coloured)', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1916,CA,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for grain', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all']"
1916,MA,"['Barley', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1916,MP,"['Barley', 'Mixed grains', 'Oats', 'Tame hay', 'Wheat, all']"
1916,NB,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1916,NS,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1916,ON,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for grain', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all', 'Wheat, spring', 'Wheat, winter remaining']"
1916,PEI,"['Barley', 'Buckwheat', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Tame hay', 'Wheat, all']"
1916,PP,"['Barley', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all']"
1916,QU,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for grain', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1916,SK,"['Barley', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1917,AB,"['Barley', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all']"
1917,BC,"['Barley', 'Beans, all dry (white and coloured)', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1917,CA,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for grain', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all']"
1917,MA,"['Barley', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1917,MP,"['Barley', 'Mixed grains', 'Oats', 'Tame hay', 'Wheat, all']"
1917,NB,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1917,NS,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1917,ON,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for grain', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all', 'Wheat, spring', 'Wheat, winter remaining']"
1917,PEI,"['Barley', 'Buckwheat', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Tame hay', 'Wheat, all']"
1917,PP,"['Barley', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all']"
1917,QU,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for grain', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1917,SK,"['Barley', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1918,AB,"['Barley', 'Beans, all dry (white and coloured)', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all']"
1918,BC,"['Barley', 'Beans, all dry (white and coloured)', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1918,CA,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for grain', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all']"
1918,MA,"['Barley', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1918,MP,"['Barley', 'Mixed grains', 'Oats', 'Tame hay', 'Wheat, all']"
1918,NB,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1918,NS,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1918,ON,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for grain', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all', 'Wheat, spring', 'Wheat, winter remaining']"
1918,PEI,"['Barley', 'Buckwheat', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Tame hay', 'Wheat, all']"
1918,PP,"['Barley', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all']"
1918,QU,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for grain', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1918,SK,"['Barley', 'Beans, all dry (white and coloured)', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1919,AB,"['Barley', 'Beans, all dry (white and coloured)', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all']"
1919,BC,"['Barley', 'Beans, all dry (white and coloured)', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1919,CA,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for grain', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all']"
1919,MA,"['Barley', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1919,MP,"['Barley', 'Mixed grains', 'Oats', 'Tame hay', 'Wheat, all']"
1919,NB,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1919,NS,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1919,ON,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for grain', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all', 'Wheat, spring', 'Wheat, winter remaining']"
1919,PEI,"['Barley', 'Buckwheat', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Tame hay', 'Wheat, all']"
1919,PP,"['Barley', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all']"
1919,QU,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for grain', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1919,SK,"['Barley', 'Beans, all dry (white and coloured)', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1920,AB,"['Barley', 'Beans, all dry (white and coloured)', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all']"
1920,BC,"['Barley', 'Beans, all dry (white and coloured)', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1920,CA,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for grain', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all']"
1920,MA,"['Barley', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1920,MP,"['Barley', 'Mixed grains', 'Oats', 'Tame hay', 'Wheat, all']"
1920,NB,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
